Title,First Author,Journal,Publication Year,DOI,Duplicates,Number
4D Blood Flow Reconstruction Over the Entire Ventricle From Wall Motion and Blood Velocity Derived From Ultrasound Data,Gomez A,IEEE Trans Med Imaging,2015,10.1109/TMI.2015.2428932,FALSE,1
52-year follow-up of a birth cohort reveals a high pneumonia incidence among young men,"Holma, P; Pesonen, P; Mustonen, O; Järvelin, MR; Kauma, H; Auvinen, J; Hautala, T",ERJ OPEN RESEARCH,2022,10.1183/23120541.00707-2021,FALSE,1
A Bayesian Framework to Identify Type 1 Diabetes Physiological Models Using Easily Accessible Patient Data,Cappon G,Annu Int Conf IEEE Eng Med Biol Soc,2019,10.1109/EMBC.2019.8856846,FALSE,1
A Bayesian hierarchical hidden Markov model for clustering and gene selection: Application to kidney cancer gene expression data,"Chekouo, Thierry (1); Mukherjee, Himadri (2)",Biometrical Journal,2024,,FALSE,1
A Bayesian inference method to estimate transmission trees with multiple introductions; applied to SARS-CoV-2 in Dutch mink farms,Van der Roest BR,PLoS Comput Biol,2023,10.1371/journal.pcbi.1010928,FALSE,1
A Bayesian model calibration framework for stochastic compartmental models with both time-varying and time-invariant parameters,"Robinson, Brandon (56655494900); Bisaillon, Philippe (37561035000); Edwards, Jodi D. (7404534807); Kendzerska, Tetyana (54383390000); Khalil, Mohammad (56862768600); Poirel, Dominique (6602714824); Sarkar, Abhijit (56003141200)",Infectious Disease Modelling,2024,10.1016/j.idm.2024.04.002,FALSE,1
A benchmark of health insurance fraud detection using machine learning techniques,"Cherkaoui, Ossama (59135853400); Anoun, Houda (55788704000); Maizate, Abderrahim (55820871000)",IAES International Journal of Artificial Intelligence,2024,10.11591/ijai.v13.i2.pp1923-1932,FALSE,1
A Case for Synthetic Data in Regulatory Decision-Making in Europe,Alloza C,Clin Pharmacol Ther,2023,10.1002/cpt.3001,FALSE,1
"A Causal Perspective on OSIM2 Data Generation, with Implications for Simulation Study Design and Interpretation","Gruber, S",JOURNAL OF CAUSAL INFERENCE,2015,10.1515/jci-2014-0008,FALSE,1
A cautionary note on the use of G-computation in population adjustment,Vo TT,Res Synth Methods,2023,10.1002/jrsm.1621,FALSE,1
A clustering approach to identify rare variants associated with hypertension,Sun R,BMC Proc,2016,10.1186/s12919-016-0022-0,FALSE,1
A comparative patient-level prediction study in OMOP CDM: applicative potential and insights from synthetic data,Ahmadi N,Sci Rep,2024,10.1038/s41598-024-52723-y,FALSE,1
A comparative study of clinical trial and real-world data in patients with diabetic kidney disease,Kurki S,Sci Rep,2024,10.1038/s41598-024-51938-3,FALSE,1
