Title,First Author,Journal,Publication Year,DOI,Duplicates,Number
4D Blood Flow Reconstruction Over the Entire Ventricle From Wall Motion and Blood Velocity Derived From Ultrasound Data,Gomez A,IEEE Trans Med Imaging,2015,10.1109/TMI.2015.2428932,TRUE,1
4D Blood Flow Reconstruction over the Entire Ventricle from Wall Motion and Blood Velocity Derived from Ultrasound Data,"Gomez, Alberto (55429442800); De Vecchi, Adelaide (36476204700); Jantsch, Martin (55616355300); Shi, Wenzhe (36631090300); Pushparajah, Kuberan (6505850994); Simpson, John M. (7404325466); Smith, Nicolas P. (55613241183); Rueckert, Daniel (7004895812); Schaeffter, Tobias (56821457500); Penney, Graeme P. (7006729312)",IEEE Transactions on Medical Imaging,2015,10.1109/TMI.2015.2428932,TRUE,2
4D Blood Flow Reconstruction Over the Entire Ventricle From Wall Motion and Blood Velocity Derived From Ultrasound Data,"Gomez, A; de Vecchi, A; Jantsch, M; Shi, WZ; Pushparajah, K; Simpson, JM; Smith, NP; Rueckert, D; Schaeffter, T; Penney, GP",IEEE TRANSACTIONS ON MEDICAL IMAGING,2015,10.1109/TMI.2015.2428932,TRUE,3
4D Blood Flow Reconstruction over the Entire Ventricle from Wall Motion and Blood Velocity Derived from Ultrasound Data,"Gomez, Alberto (1); De Vecchi, Adelaide (1); Jantsch, Martin (3); Shi, Wenzhe (3); Pushparajah, Kuberan (2); Simpson, John M. (2); Smith, Nicolas P. (1); Rueckert, Daniel (3); Schaeffter, Tobias (1); Penney, Graeme P. (1)",IEEE Transactions on Medical Imaging,2015,,TRUE,4
52-year follow-up of a birth cohort reveals a high pneumonia incidence among young men,"Holma, P; Pesonen, P; Mustonen, O; Järvelin, MR; Kauma, H; Auvinen, J; Hautala, T",ERJ OPEN RESEARCH,2022,10.1183/23120541.00707-2021,FALSE,1
A Bayesian Framework to Identify Type 1 Diabetes Physiological Models Using Easily Accessible Patient Data,Cappon G,Annu Int Conf IEEE Eng Med Biol Soc,2019,10.1109/EMBC.2019.8856846,FALSE,1
A Bayesian hierarchical hidden Markov model for clustering and gene selection: Application to kidney cancer gene expression data,"Chekouo, Thierry (1); Mukherjee, Himadri (2)",Biometrical Journal,2024,,FALSE,1
A Bayesian inference method to estimate transmission trees with multiple introductions; applied to SARS-CoV-2 in Dutch mink farms,Van der Roest BR,PLoS Comput Biol,2023,10.1371/journal.pcbi.1010928,TRUE,1
A Bayesian inference method to estimate transmission trees with multiple introductions; applied to SARS-CoV-2 in Dutch mink farms,"van der Roest, BR; Bootsma, MCJ; Fischer, EAJ; Klinkenberg, D; Kretzschmar, MEE",PLOS COMPUTATIONAL BIOLOGY,2023,10.1371/journal.pcbi.1010928,TRUE,2
A Bayesian inference method to estimate transmission trees with multiple introductions; applied to SARS-CoV-2 in Dutch mink farms,"Van der Roest, Bastiaan R. (1); Bootsma, Martin C.J. (1, 2); Fischer, Egil A.J. (3); Klinkenberg, Don (4); Kretzschmar, Mirjam E.E. (1, 4)",PLoS Computational Biology,2023,,TRUE,3
A Bayesian model calibration framework for stochastic compartmental models with both time-varying and time-invariant parameters,"Robinson, Brandon (56655494900); Bisaillon, Philippe (37561035000); Edwards, Jodi D. (7404534807); Kendzerska, Tetyana (54383390000); Khalil, Mohammad (56862768600); Poirel, Dominique (6602714824); Sarkar, Abhijit (56003141200)",Infectious Disease Modelling,2024,10.1016/j.idm.2024.04.002,FALSE,1
A benchmark of health insurance fraud detection using machine learning techniques,"Cherkaoui, Ossama (59135853400); Anoun, Houda (55788704000); Maizate, Abderrahim (55820871000)",IAES International Journal of Artificial Intelligence,2024,10.11591/ijai.v13.i2.pp1923-1932,FALSE,1
A Case for Synthetic Data in Regulatory Decision-Making in Europe,Alloza C,Clin Pharmacol Ther,2023,10.1002/cpt.3001,TRUE,1
A Case for Synthetic Data in Regulatory Decision-Making in Europe,"Alloza, Clara (57189662978); Knox, Bethany (58546461100); Raad, Hanaya (57215876967); Aguilà, Mireia (58546318500); Coakley, Ciara (58545752500); Mohrova, Zuzana (57219355322); Boin, Élodie (58545894500); Bénard, Marc (58545752600); Davies, Jessica (58546032000); Jacquot, Emmanuelle (57205878591); Lecomte, Coralie (58061212600); Fabre, Alban (58546176000); Batech, Michael (48660962300)",Clinical Pharmacology and Therapeutics,2023,10.1002/cpt.3001,TRUE,2
