Title,First Author,Journal,Publication Year,DOI
Probabilistic techniques for obtaining accurate patient counts in Clinical Data Warehouses,"Myers, Risa B. (1, 2, 3); Herskovic, Jorge R. (1)",Journal of Biomedical Informatics,2011,
Generating synthetic syndromic-surveillance data for evaluating visual-analytics techniques,"Maciejewski, Ross (1); Hafen, Ryan (1); Rudolph, Stephen (1); Tebbetts, George (1); Cleveland, William S. (1); Grannis, Shaun J. (2); Ebert, David S. (1)",IEEE Computer Graphics and Applications,2009,
Blockchain-Based Accountable Auditing with Multi-Ownership Transfer,"Shen, Jun (1); Chen, Xiaofeng (1, 2); Wei, Jianghong (3); Guo, Fuchun (4); Susilo, Willy (4)",IEEE Transactions on Cloud Computing,2023,
Long Short-Team Memory for Forecasting Degradation Recovery Process with Binary Maintenance Intervention Records,"Kosukegawa, Katsuya (1); Kawamoto, Kazuhiko (1)","IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",2024,
Robust Grouped Variable Selection Using Distributionally Robust Optimization,"Chen, Ruidi (1); Paschalidis, Ioannis Ch. (1)",Journal of Optimization Theory and Applications,2022,
Personalized fault diagnosis of rolling bearings in trains based on digital twin,"Liu, Chang (1); He, Deqiang (1); Wei, Zexian (1); He, Changfu (1); Lao, Zhenpeng (1); Shan, Sheng (2)",Measurement Science and Technology,2023,
Estimating uncertainty intervals from collaborating networks,"Zhou, Tianhui (1); Li, Yitong (2); Wu, Yuan (3); Carlson, David (3)",Journal of Machine Learning Research,2021,
Patient asynchrony modelling during controlled mechanical ventilation therapy,"Arunachalam, Ganesa Ramachandran (1); Chiew, Yeong Shiong (1); Tan, Chee Pin (1); Ralib, Azrina Mohd (2); Nor, Mohd Basri Mat (2)",Computer Methods and Programs in Biomedicine,2020,
Preserving privacy in mobile health systems using non-interactive zero-knowledge proof and blockchain,"Tomaz, Antonio Emerson Barros (1); Nascimento, José Claúdio Do (2); Hafid, Abdelhakim Senhaji (3); Souza, José Neuman De (1)",IEEE Access,2020,
Chrono correlator: Enriching events with time series,"van Dortmont, M.A.M.M. (1, 2); van den Elzen, S. (2); van Wijk, J.J. (1)",Computer Graphics Forum,2019,
Imputation of clinical covariates in time series,"Bertsimas, Dimitris (1); Orfanoudaki, Agni (1); Pawlowski, Colin (1)",Machine Learning,2021,
On simulating multivariate non-normal distributions from the generalized lambda distribution,"Headrick, Todd C. (1); Mugdadi, Abdel (2)",Computational Statistics and Data Analysis,2006,
An adaptive information-theoretic experimental design procedure for high-to-low fidelity calibration of prostate cancer models,"Cho, Heyrim (1); Lewis, Allison L. (2); Storey, Kathleen M. (2); Zittle, Anna C. (2)",Mathematical Biosciences and Engineering,2023,
Spatio-temporal physics-informed learning: A novel approach to CT perfusion analysis in acute ischemic stroke,"de Vries, Lucas (1, 2, 3, 4, 5); van Herten, Rudolf L.M. (1, 3, 4); Hoving, Jan W. (2, 5); Išgum, Ivana (1, 2, 3, 4, 5); Emmer, Bart J. (2, 5); Majoie, Charles B.L.M. (2, 5); Marquering, Henk A. (1, 2, 4, 5); Gavves, Efstratios (3)",Medical Image Analysis,2023,
Time warping between main epidemic time series in epidemiological surveillance,"Morel, Jean-David (1); Morel, Jean-Michel (2); Alvarez, Luis (3)",PLoS Computational Biology,2023,
An Investigation of Stochastic Variance Reduction Algorithms for Relative Difference Penalized 3D PET Image Reconstruction,"Twyman, Robert (1); Arridge, Simon (2); Kereta, Zeljko (1); Jin, Bangti (1); Brusaferri, Ludovica (2, 3); Ahn, Sangtae (4); Stearns, Charles W. (5); Hutton, Brian F. (1); Burger, Irene A. (6); Kotasidis, Fotis (5); Thielemans, Kris (1)",IEEE Transactions on Medical Imaging,2023,
An Intelligent Healthcare Cyber Physical Framework for Encephalitis Diagnosis Based on Information Fusion and Soft-Computing Techniques,"Gupta, Aditya (1); Singh, Amritpal (1)",New Generation Computing,2022,
Structure and Tracer Kinetics-Driven Dynamic PET Reconstruction,"Cui, Jianan (1); Qin, Zhongya (1); Chen, Shuhang (2); Chen, Yunmei (2); Liu, Huafeng (1)",IEEE Transactions on Radiation and Plasma Medical Sciences,2020,
Using uncertain data from body-worn sensors to gain insight into type 1 diabetes,"Heintzman, Nathaniel (1); Kleinberg, Samantha (2)",Journal of Biomedical Informatics,2016,
Bayesian profiling for cost with zeros to decompose total cost into probability of cost and mean nonzero cost,"Grunwald, Gary K. (1, 2); Arnett, James A. (3); Liu, Wenhui (2); Ho, P. Michael (2, 4)",Biometrical Journal,2020,
Healthcare and anomaly detection: using machine learning to predict anomalies in heart rate data,"Šabić, Edin (1, 2); Keeley, David (1, 2); Henderson, Bailey (1); Nannemann, Sara (1, 2)",AI and Society,2021,
Image reconstruction using UNET-transformer network for fast and low-dose PET scans,"Kaviani, Sanaz (1, 2); Sanaat, Amirhossein (3); Mokri, Mersede (1, 2); Cohalan, Claire (2, 4); Carrier, Jean-Francois (2, 5, 6)",Computerized Medical Imaging and Graphics,2023,
Generating realistic synthetic population datasets,"Wu, Hao (1); Ning, Yue (2); Chakraborty, Prithwish (3); Vreeken, Jilles (4); Tatti, Nikolaj (5); Ramakrishnan, Naren (2)",ACM Transactions on Knowledge Discovery from Data,2018,
A generative adversarial network (GAN) technique for internet of medical things data,"Vaccari, Ivan (1); Orani, Vanessa (1); Paglialonga, Alessia (2); Cambiaso, Enrico (1); Mongelli, Maurizio (1)",Sensors,2021,
Dynamic PET Image Denoising Using Deep Image Prior Combined with Regularization by Denoising,"Sun, Hao (1); Peng, Lihong (1); Zhang, Hongyan (1); He, Yuru (1); Cao, Shuangliang (1); Lu, Lijun (1)",IEEE Access,2021,
A Learned Reconstruction Network for SPECT Imaging,"Shao, Wenyi (1); Pomper, Martin G. (1); Du, Yong (1)",IEEE Transactions on Radiation and Plasma Medical Sciences,2021,
4D Blood Flow Reconstruction over the Entire Ventricle from Wall Motion and Blood Velocity Derived from Ultrasound Data,"Gomez, Alberto (1); De Vecchi, Adelaide (1); Jantsch, Martin (3); Shi, Wenzhe (3); Pushparajah, Kuberan (2); Simpson, John M. (2); Smith, Nicolas P. (1); Rueckert, Daniel (3); Schaeffter, Tobias (1); Penney, Graeme P. (1)",IEEE Transactions on Medical Imaging,2015,
