Title,First Author,Journal,Publication Year,DOI
Harmonizing Clinical Sequencing and Interpretation for the eMERGE III Network,eMERGE Consortium. Electronic address: agibbs@bcm.edu,Am J Hum Genet,2019,10.1016/j.ajhg.2019.07.018
Bias correction for inverse variance weighting Mendelian randomization,Mounier N,Genet Epidemiol,2023,10.1002/gepi.22522
H3Africa: current perspectives,Mulder N,Pharmgenomics Pers Med,2018,10.2147/PGPM.S141546
Generative Adversarial Networks in Cardiology,Skandarani Y,Can J Cardiol,2022,10.1016/j.cjca.2021.11.003
Synthetic Data Generation by Artificial Intelligence to Accelerate Research and Precision Medicine in Hematology,D'Amico S,JCO Clin Cancer Inform,2023,10.1200/CCI.23.00021
Status of Synthetic Data Generation for Structured Health Data,El Emam K,JCO Clin Cancer Inform,2023,10.1200/CCI.23.00071
"Synthetic Tabular Data Evaluation in the Health Domain Covering Resemblance, Utility, and Privacy Dimensions",Hernadez M,Methods Inf Med,2023,10.1055/s-0042-1760247
Domain Knowledge-Driven Generation of Synthetic Healthcare Data,Hashemi AS,Stud Health Technol Inform,2023,10.3233/SHTI230136
Membership inference attacks against synthetic health data,Zhang Z,J Biomed Inform,2022,10.1016/j.jbi.2021.103977
Key Contributions in Clinical Research Informatics,Daniel C,Yearb Med Inform,2021,10.1055/s-0041-1726514
Generation and evaluation of synthetic patient data,Goncalves A,BMC Med Res Methodol,2020,10.1186/s12874-020-00977-1
"Data Provenance in Healthcare: Approaches, Challenges, and Future Directions",Ahmed M,Sensors (Basel),2023,10.3390/s23146495
A Framework for Evaluating Synthetic Electronic Health Records,Budu E,Stud Health Technol Inform,2023,10.3233/SHTI230149
Dataset Comparison Tool: Utility and Privacy,Coutinho-Almeida J,Stud Health Technol Inform,2022,10.3233/SHTI220389
An overview of synthetic administrative data for research,Kokosi T,Int J Popul Data Sci,2022,10.23889/ijpds.v7i1.1727
Deep generative models in DataSHIELD,Lenz S,BMC Med Res Methodol,2021,10.1186/s12874-021-01237-6
Health Synthetic Data to Enable Health Learning System and Innovation: A Scoping Review,Tsao SF,Stud Health Technol Inform,2023,10.3233/SHTI230063
Genomic health data generation in the UK: a 360 view,Ormondroyd E,Eur J Hum Genet,2022,10.1038/s41431-021-00976-w
Multi-omics data integration methods and their applications in psychiatric disorders,Sathyanarayanan A,Eur Neuropsychopharmacol,2023,10.1016/j.euroneuro.2023.01.001
