Title,First Author,Journal,Publication Year,DOI
Development of a Synthetic Population Model for Assessing Excess Risk for Cardiovascular Disease Death,"Krauland, Mary G. (26429518000); Frankeny, Robert J. (57210810764); Lewis, Josh (57218774322); Brink, Luann (7005573098); Hulsey, Eric G. (36156901600); Roberts, Mark S. (58728056600); Hacker, Karen A. (34769799800)",JAMA Network Open,2020,10.1001/jamanetworkopen.2020.15047
Trends in Use and Perceptions about Triplet Chemotherapy plus Bevacizumab for Metastatic Colorectal Cancer,"Van Nassau, Sietske C. (57204505092); Bond, Marinde J. (57222343786); Scheerman, Ilva (57258976800); Van Breeschoten, Jesper (57221734919); Kessels, Rob (57195997836); Valkenburg-Van Iersel, Liselot B. (38362494900); Verheul, Henk M. (7005577619); Buffart, Tineke E. (8573760900); Mekenkamp, Leonie J. (26022552200); Lemmens, Valery E. (8898935500); Koopman, Miriam (24587826200); Bol, Guus M. (36659036500)",JAMA Network Open,2021,10.1001/jamanetworkopen.2021.24766
A machine learning approach for individual claims reserving in insurance,"Baudry, Maximilien (57208597185); Robert, Christian Y. (8419063900)",Applied Stochastic Models in Business and Industry,2019,10.1002/asmb.2455
Bayesian estimation of finite time ruin probabilities,"Ausin, M. Concepcion (57205514736); Wiper, Michael P. (6602211559); Lillo, Rosa E. (35320176800)",Applied Stochastic Models in Business and Industry,2009,10.1002/asmb.762
Spatial mixture multiscale modeling for aggregated health data,"Aregay, Mehreteab (55344868500); Lawson, Andrew B. (26642947500); Faes, Christel (6507599044); Kirby, Russell S. (7201552967); Carroll, Rachel (7201448932); Watjou, Kevin (56896058100)",Biometrical journal. Biometrische Zeitschrift,2016,10.1002/bimj.201500168
Bayesian profiling for cost with zeros to decompose total cost into probability of cost and mean nonzero cost,"Grunwald, Gary K. (7005992995); Arnett, James A. (57217150246); Liu, Wenhui (57188839111); Ho, P. Michael (8601441900)",Biometrical Journal,2020,10.1002/bimj.201900148
An IoT enabled smart healthcare system using deep reinforcement learning,"Jagannath, Duraiswamy Jothinath (55943370700); Dolly, Raveena Judie (56405637500); Let, Gunamony Shine (57218689358); Peter, James Dinesh (57203535407)",Concurrency and Computation: Practice and Experience,2022,10.1002/cpe.7403
A Case for Synthetic Data in Regulatory Decision-Making in Europe,"Alloza, Clara (57189662978); Knox, Bethany (58546461100); Raad, Hanaya (57215876967); Aguilà, Mireia (58546318500); Coakley, Ciara (58545752500); Mohrova, Zuzana (57219355322); Boin, Élodie (58545894500); Bénard, Marc (58545752600); Davies, Jessica (58546032000); Jacquot, Emmanuelle (57205878591); Lecomte, Coralie (58061212600); Fabre, Alban (58546176000); Batech, Michael (48660962300)",Clinical Pharmacology and Therapeutics,2023,10.1002/cpt.3001
A Generative and Causal Pharmacokinetic Model for Factor VIII in Hemophilia A: A Machine Learning Framework for Continuous Model Refinement,"Janssen, Alexander (57213259191); Smalbil, Louk (57217387530); Bennis, Frank C. (57195487126); Cnossen, Marjon H. (57201703409); Mathôt, Ron A. A. (7004492604)",Clinical Pharmacology and Therapeutics,2024,10.1002/cpt.3203
Predicting 5-year dementia conversion in veterans with mild cognitive impairment,"Irwin, Chase (58183526300); Tjandra, Donna (57204508522); Hu, Chengcheng (57218620805); Aggarwal, Vinod (58954718800); Lienau, Amanda (58819266600); Giordani, Bruno (7005508273); Wiens, Jenna (37110475500); Migrino, Raymond Q. (6602361376)","Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",2024,10.1002/dad2.12572
