Authors,Title,Journal,Publication Year,DOI
Synthetic data generation for tabular health records: A review,"Hernandez, M; Epelde, G; Alberdi, A; Cilla, R; Rankin, D",NEUROCOMPUTING,2022,10.1016/j.neucom.2022.04.053
Contribution of Synthetic Data Generation towards an Improved Patient Stratification in Palliative Care,"Hahn, W; Schütte, K; Schultz, K; Wolkenhauer, O; Sedlmayr, M; Schuler, U; Eichler, M; Bej, S; Wolfien, M",JOURNAL OF PERSONALIZED MEDICINE,2022,10.3390/jpm12081278
Generating and evaluating cross-sectional synthetic electronic healthcare data: Preserving data utility and patient privacy,"Wang, ZC; Myles, P; Tucker, A",COMPUTATIONAL INTELLIGENCE,2021,10.1111/coin.12427
Synthetic data generation: State of the art in health care domain,"Murtaza, H; Ahmed, M; Khan, NF; Murtaza, G; Zafar, S; Bano, A",COMPUTER SCIENCE REVIEW,2023,10.1016/j.cosrev.2023.100546
Inferring actual treatment pathways from patient records,"Wilkins-Caruana, A; Bandara, M; Musial, K; Catchpoole, D; Kennedy, PJ",JOURNAL OF BIOMEDICAL INFORMATICS,2023,10.1016/j.jbi.2023.104554
SynSys: A Synthetic Data Generation System for Healthcare Applications,"Dahmen, J; Cook, D",SENSORS,2019,10.3390/s19051181
Synthetic Data as a Proxy for Real-World Electronic Health Records in the Patient Length of Stay Prediction,"Bietsch, D; Stahlbock, R; Voss, S",SUSTAINABILITY,2023,10.3390/su151813690
Privacy Mechanisms and Evaluation Metrics for Synthetic Data Generation: A Systematic Review,"Osorio-Marulanda, PA; Epelde, G; Hernandez, M; Isasa, I; Reyes, NM; Iraola, AB",IEEE ACCESS,2024,10.1109/ACCESS.2024.3417608
Identifying and handling data bias within primary healthcare data using synthetic data generators,"Draghi, B; Wang, ZC; Myles, P; Tucker, A",HELIYON,2024,10.1016/j.heliyon.2024.e24164
Fake It Till You Make It: Guidelines for Effective Synthetic Data Generation,"Dankar, FK; Ibrahim, M",APPLIED SCIENCES-BASEL,2021,10.3390/app11052158
Synthesizing electronic health records using improved generative adversarial networks,"Baowaly, MK; Lin, CC; Liu, CL; Chen, KT",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2019,10.1093/jamia/ocy142
The Problem of Fairness in Synthetic Healthcare Data,"Bhanot, K; Qi, M; Erickson, JS; Guyon, I; Bennett, KP",ENTROPY,2021,10.3390/e23091165
Can the Use of Bayesian Analysis Methods Correct for Incompleteness in Electronic Health Records Diagnosis Data? Development of a Novel Method Using Simulated and Real-Life Clinical Data,"Ford, E; Rooney, P; Hurley, P; Oliver, S; Bremner, S; Cassell, J",FRONTIERS IN PUBLIC HEALTH,2020,10.3389/fpubh.2020.00054
Utility Metrics for Evaluating Synthetic Health Data Generation Methods: Validation Study,"El Emam, K; Mosquera, L; Fang, X; El-Hussuna, A",JMIR MEDICAL INFORMATICS,2022,10.2196/35734
"The Coherent Data Set: Combining Patient Data and Imaging in a Comprehensive, Synthetic Health Record","Walonoski, J; Hall, D; Bates, KM; Farris, MH; Dagher, J; Downs, ME; Sivek, RT; Wellner, B; Gregorowicz, A; Hadley, M; Campion, FX; Levine, L; Wacome, K; Emmer, G; Kemmer, A; Malik, M; Hughes, J; Granger, E; Russell, S",ELECTRONICS,2022,10.3390/electronics11081199
EHR-Safe: generating high-fidelity and privacy-preserving synthetic electronic health records,"Yoon, J; Mizrahi, M; Ghalaty, NF; Jarvinen, T; Ravi, AS; Brune, P; Kong, FY; Anderson, D; Lee, G; Meir, A; Bandukwala, F; Kanal, E; Arik, SÖ; Pfister, T",NPJ DIGITAL MEDICINE,2023,10.1038/s41746-023-00888-7
Generation and evaluation of synthetic patient data,"Goncalves, A; Ray, P; Soper, B; Stevens, J; Coyle, L; Sales, AP",BMC MEDICAL RESEARCH METHODOLOGY,2020,10.1186/s12874-020-00977-1
Leveraging Artificial Intelligence and Synthetic Data Derivatives for Spine Surgery Research,"Greenberg, JK; Landman, JM; Kelly, MP; Pennicooke, BH; Molina, CA; Foraker, RE; Ray, WZ",GLOBAL SPINE JOURNAL,2023,10.1177/21925682221085535
"In simulated data and health records, latent class analysis was the optimum multimorbidity clustering algorithm","Nichols, L; Taverner, T; Crowe, F; Richardson, S; Yau, C; Kiddle, S; Kirk, P; Barrett, J; Nirantharakumar, K; Griffin, S; Edwards, D; Marshall, T",JOURNAL OF CLINICAL EPIDEMIOLOGY,2022,10.1016/j.jclinepi.2022.10.011
Synthesizing Electronic Health Records for Predictive Models in Low-Middle-Income Countries (LMICs),"Ghosheh, GO; Thwaites, CL; Zhu, TT",BIOMEDICINES,2023,10.3390/biomedicines11061749
Application of Bayesian networks to generate synthetic health data,"Kaur, D; Sobiesk, M; Patil, S; Liu, J; Bhagat, P; Gupta, A; Markuzon, N",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2021,10.1093/jamia/ocaa303
Analyzing Medical Research Results Based on Synthetic Data and Their Relation to Real Data Results: Systematic Comparison From Five Observational Studies,"Benaim, AR; Almog, R; Gorelik, Y; Hochberg, I; Nassar, L; Mashiach, T; Khamaisi, M; Lurie, Y; Azzam, ZS; Khoury, J; Kurnik, D; Beyar, R",JMIR MEDICAL INFORMATICS,2020,10.2196/16492
Synthetic Patient Data Generation and Evaluation in Disease Prediction Using Small and Imbalanced Datasets,"Rodriguez-Almeida, AJ; Fabelo, H; Ortega, S; Deniz, A; Balea-Fernandez, FJ; Quevedo, E; Soguero-Ruiz, C; Wägner, AM; Callico, GM",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,2023,10.1109/JBHI.2022.3196697
LDP-GAN : Generative adversarial networks with local differential privacy for patient medical records synthesis,"Gwon, H; Ahn, I; Kim, Y; Kang, HJ; Seo, H; Choi, H; Cho, HN; Kim, M; Han, JY; Kee, G; Park, S; Lee, KH; Jun, TJ; Kim, YH",COMPUTERS IN BIOLOGY AND MEDICINE,2024,10.1016/j.compbiomed.2023.107738
DataSifter II: Partially synthetic data sharing of sensitive information containing time-varying correlated observations,"Zhou, NN; Wang, L; Marino, S; Zhao, Y; Dinov, ID",JOURNAL OF ALGORITHMS & COMPUTATIONAL TECHNOLOGY,2022,10.1177/17483026211065379
